Author,URL,Points
frostie-lebron,https://steemit.com/blocktradesworldcup/@frostie-lebron/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
anyuta-rai,https://steemit.com/blocktradesworldcup/@anyuta-rai/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
vieira,https://steemit.com/blocktradesworldcup/@vieira/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
nurulsteemit,https://steemit.com/blocktradesworldcup/@nurulsteemit/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-dd5e86e397de1,7
mzakybrt,https://steemit.com/blocktradesworldcup/@mzakybrt/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,7
stimp1024,https://steemit.com/blocktradesworldcup/@stimp1024/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
raisul,https://steemit.com/blocktradesworldcup/@raisul/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
prettysnake,https://steemit.com/blocktradesworldcup/@prettysnake/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
pizzapai,https://steemit.com/blocktradesworldcup/@pizzapai/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
lidsay,https://steemit.com/blocktradesworldcup/@lidsay/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-bc94b10c8c7b7,6
idgonzalez,https://steemit.com/blocktradesworldcup/@idgonzalez/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
gusvzla,https://steemit.com/blocktradesworldcup/@gusvzla/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
fakhirah,https://steemit.com/blocktradesworldcup/@fakhirah/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
cindycam,https://steemit.com/blocktradesworldcup/@cindycam/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
cekismail,https://steemit.com/blocktradesworldcup/@cekismail/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-fc999a774756a,6
superfazio,https://steemit.com/blocktradesworldcup/@superfazio/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
ryanfirdaus,https://steemit.com/blocktradesworldcup/@ryanfirdaus/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
okipeter,https://steemit.com/blocktradesworldcup/@okipeter/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
matuca,https://steemit.com/blocktradesworldcup/@matuca/blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
jamalsteem,https://steemit.com/blocktradesworldcup/@jamalsteem/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-d73c5eaca54cb,6
hayomi,https://steemit.com/blocktradesworldcup/@hayomi/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
ertugrul,https://steemit.com/blocktradesworldcup/@ertugrul/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
erikaa,https://steemit.com/blocktradesworldcup/@erikaa/world-cup-or-my-selections-for-the-quarter-finals,6
emekacollins,https://steemit.com/blocktradesworldcup/@emekacollins/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
embohor,https://steemit.com/blocktradesworldcup/@embohor/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
diogosantos,https://steemit.com/blocktradesworldcup/@diogosantos/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
cryptoboc,https://steemit.com/blocktradesworldcup/@cryptoboc/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
chorock,https://steemit.com/blocktradesworldcup/@chorock/the-blocktrades-world-cup-quarter-finals-for-me,6
caracasfrases,https://steemit.com/blocktradesworldcup/@caracasfrases/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
andrewade,https://steemit.com/blocktradesworldcup/@andrewade/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
tzap90,https://steemit.com/blocktradesworldcup/@tzap90/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
nova-nazirah,https://steemit.com/blocktradesworldcup/@nova-nazirah/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-476818c3a477c,6
kagantrky,https://steemit.com/blocktradesworldcup/@kagantrky/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
galasek,https://steemit.com/blocktradesworldcup/@galasek/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
bulent1976,https://steemit.com/blocktradesworldcup/@bulent1976/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
banglambang,https://steemit.com/blocktradesworldcup/@banglambang/blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
susahseunang,https://steemit.com/blocktradesworldcup/@susahseunang/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-eb42d90ebfb,6
eyeofthemind,https://steemit.com/blocktradesworldcup/@eyeofthemind/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
acmilan,https://steemit.com/blocktradesworldcup/@acmilan/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
dexpartacus,https://steemit.com/blocktradesworldcup/@dexpartacus/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,6
thompson2,https://steemit.com/blocktradesworldcup/@thompson2/blocktrade-world-cup-my-selection-for-quarter-final,5
stephalt,https://steemit.com/blocktradesworldcup/@stephalt/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
saftiansyah,https://steemit.com/blocktradesworldcup/@saftiansyah/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
ramengirl,https://steemit.com/blocktradesworldcup/@ramengirl/quarter-finals-stage-submit-your-entry-to-keep-competing-for-the-2-000-sbd-prize-pool,5
nigerian-yogagal,https://steemit.com/blocktradesworldcup/@nigerian-yogagal/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
neoconqueso,https://steemit.com/blocktradesworldcup/@neoconqueso/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
michael11,https://steemit.com/blocktradesworldcup/@michael11/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
marvel1206,https://steemit.com/blocktradesworldcup/@marvel1206/the-blocktrades-world-cup-or-my-selection-for-the-quarter-finals-d421cee930f5a,5
jose27117,https://steemit.com/blocktradesworldcup/@jose27117/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
izzrael,https://steemit.com/blocktradesworldcup/@izzrael/blocktrades-world-cup-or-my-selections-for-the-quarter-finals-676dbfd8691c,5
cervisia,https://steemit.com/blocktradesworldcup/@cervisia/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
cameron99,https://steemit.com/blocktradesworldcup/@cameron99/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
bridgetoby,https://steemit.com/blocktradesworldcup/@bridgetoby/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
bowess,https://steemit.com/blocktradesworldcup/@bowess/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
beany-inhinyero,https://steemit.com/blocktradesworldcup/@beany-inhinyero/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
bcrafts,https://steemit.com/blocktradesworldcup/@bcrafts/the-blocktrades-world-cup-or-selectuon-for-quater-finals,5
batubara,https://steemit.com/blocktradesworldcup/@batubara/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
babsi,https://steemit.com/blocktradesworldcup/@babsi/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
ange.nkuru,https://steemit.com/blocktradesworldcup/@ange.nkuru/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
alexicp,https://steemit.com/blocktradesworldcup/@alexicp/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
akiripromise,https://steemit.com/blocktradesworldcup/@akiripromise/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-by-akiripromise-de67918ad3d47,5
zuraini,https://steemit.com/blocktradesworldcup/@zuraini/world-cup-or-my-selections-for-the-quarter-finals,5
zulfikar17,https://steemit.com/blocktradesworldcup/@zulfikar17/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
zoexantelamv,https://steemit.com/blocktradesworldcup/@zoexantelamv/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
travelgirl,https://steemit.com/blocktradesworldcup/@travelgirl/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
templeflower,https://steemit.com/blocktradesworldcup/@templeflower/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
suqya,https://steemit.com/blocktradesworldcup/@suqya/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-edc2f12a1c2cb,5
shiroe,https://steemit.com/blocktradesworldcup/@shiroe/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
roonyy,https://steemit.com/blocktradesworldcup/@roonyy/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
peterakpan,https://steemit.com/blocktradesworldcup/@peterakpan/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
munaa,https://steemit.com/blocktradesworldcup/@munaa/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
mghufroncholid31,https://steemit.com/blocktradesworldcup/@mghufroncholid31/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
maxinpower,https://steemit.com/blocktradesworldcup/@maxinpower/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
maikuraki,https://steemit.com/blocktradesworldcup/@maikuraki/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
ksena,https://steemit.com/blocktradesworldcup/@ksena/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
kamiikazer,https://steemit.com/blocktradesworldcup/@kamiikazer/the-blocktrades-world-cup-or-my-selections-for-quarter-finals,5
jmuda,https://steemit.com/blocktradesworldcup/@jmuda/world-cup-or-my-selections-for-the-quarter-finals-6eca6ac1aa73a,5
henlicps,https://steemit.com/blocktradesworldcup/@henlicps/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
good.karna,https://steemit.com/blocktradesworldcup/@good.karna/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
germansailor,https://steemit.com/blocktradesworldcup/@germansailor/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
drago18121996,https://steemit.com/ita/@drago18121996/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
desmoniac,https://steemit.com/blocktradesworldcup/@desmoniac/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
coretan,https://steemit.com/blocktradesworldcup/@coretan/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
barguarico,https://steemit.com/blocktradesworldcup/@barguarico/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
ayijufridar,https://steemit.com/blocktradesworldcup/@ayijufridar/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
auliaramadhn,https://steemit.com/blocktradesworldcup/@auliaramadhn/world-cup-or-my-selections-for-the-quarter-finals-754b233b486f2est,5
alif36,https://steemit.com/blocktradesworldcup/@alif36/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-12c13c3e87869,5
agus17,https://steemit.com/blocktradesworldcup/@agus17/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-a64156074696e,5
aguero41,https://steemit.com/blocktradesworldcup/@aguero41/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-ebfae1cd0ac2b,5
adivender,https://steemit.com/blocktradesworldcup/@adivender/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
abismulem94,https://steemit.com/blocktradeworldcup/@abismulem94/the-blocktrades-world-cup-or-or-pilihan-saya-untuk-perempat-final-bf779edb96ec7,5
wildarahmi,https://steemit.com/blocktradesworldcup/@wildarahmi/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
seesladen,https://steemit.com/blocktradesworldcup/@seesladen/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
ruud-dinn,https://steemit.com/blocktradesworldcup/@ruud-dinn/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-8e80b136702ca,5
riodejaksiuroe,https://steemit.com/blocktradesworldcup/@riodejaksiuroe/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
reiseamateur,https://steemit.com/deutsch/@reiseamateur/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
nzl19500,https://steemit.com/blocktradesworldcup/@nzl19500/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
nurfa,https://steemit.com/blocktradesworldcup/@nurfa/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-65a4e549b8b6,5
nicolaepavelean,https://steemit.com/blocktradesworldcup/@nicolaepavelean/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
masril,https://steemit.com/blocktradesworldcup/@masril/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
holycow,https://steemit.com/blocktradesworldcup/@holycow/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
briggsy,https://steemit.com/blocktradesworldcup/@briggsy/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
